"","frame","x","y"
"1",0,170,72
"2",0,169,73
"3",0,168,73
"4",0,167,73
"5",0,166,73
"6",0,165,73
"7",0,164,73
"8",0,163,73
"9",0,162,73
"10",0,161,73
"11",0,160,73
"12",0,159,73
"13",0,158,73
"14",0,157,73
"15",0,156,73
"16",0,155,73
"17",0,154,73
"18",0,153,73
"19",0,152,73
"20",0,151,74
"21",0,150,74
"22",0,149,74
"23",0,148,75
"24",0,147,75
"25",0,146,75
"26",0,145,75
"27",0,144,75
"28",0,143,75
"29",0,142,75
"30",0,141,75
"31",0,140,76
"32",0,139,76
"33",0,138,76
"34",0,137,76
"35",0,136,76
"36",0,135,76
"37",0,134,76
"38",0,133,76
"39",0,132,77
"40",0,131,77
"41",0,130,77
"42",0,129,77
"43",0,128,78
"44",0,127,78
"45",0,126,78
"46",0,125,78
"47",0,124,79
"48",0,123,79
"49",0,122,79
"50",0,121,79
"51",0,120,80
"52",0,119,80
"53",0,118,80
"54",0,117,81
"55",0,116,81
"56",0,115,81
"57",0,114,82
"58",0,113,82
"59",0,112,82
"60",0,111,82
"61",0,110,82
"62",0,109,83
"63",0,108,83
"64",0,107,83
"65",0,106,83
"66",0,105,84
"67",0,104,84
"68",0,103,83
"69",0,102,83
"70",0,101,83
"71",0,100,83
"72",0,99,84
"73",0,98,84
"74",0,97,83
"75",0,96,83
"76",0,95,82
"77",0,94,82
"78",0,93,82
"79",0,92,82
"80",0,91,82
"81",0,90,83
"82",0,89,83
"83",0,88,83
"84",0,87,84
"85",0,86,85
"86",0,85,86
"87",0,84,86
"88",0,83,87
"89",0,82,87
"90",0,81,87
"91",0,80,87
"92",0,79,87
"93",0,78,87
"94",0,77,87
"95",0,76,87
"96",0,75,87
"97",0,74,87
"98",0,73,86
"99",0,72,86
"100",0,71,87
"101",0,70,87
"102",0,69,88
"103",0,68,89
"104",0,67,90
"105",0,67,91
"106",0,66,92
"107",0,66,93
"108",0,65,94
"109",0,64,95
"110",0,63,95
"111",0,62,95
"112",0,61,95
"113",0,60,96
"114",0,59,96
"115",0,58,96
"116",0,57,96
"117",0,56,96
"118",0,55,97
"119",0,54,97
"120",0,53,97
"121",0,52,98
"122",0,51,98
"123",0,50,98
"124",0,49,99
"125",0,48,99
"126",0,47,100
"127",0,46,100
"128",0,45,100
"129",0,44,100
"130",0,43,101
"131",0,42,101
"132",0,41,101
"133",0,40,102
"134",0,39,102
"135",0,38,102
"136",0,37,103
"137",0,36,103
"138",0,35,104
"139",0,34,105
"140",0,33,105
"141",0,32,106
"142",0,31,106
"143",0,30,107
"144",0,29,108
"145",0,28,109
"146",0,27,110
"147",0,26,110
"148",0,26,111
"149",0,25,112
"150",0,24,113
"151",0,23,114
"152",0,22,115
"153",0,22,116
"154",0,21,117
"155",0,20,118
"156",0,20,119
"157",0,19,120
"158",0,18,121
"159",0,18,122
"160",0,17,123
"161",0,16,124
"162",0,16,125
"163",0,16,126
"164",0,16,127
"165",0,15,128
"166",0,15,129
